conm,avg_revenue,avg_net_income,avg_profit_margin,avg_roa,avg_revenue_growth
FORD MOTOR CO,160841.7142857143,2395.4285714285716,0.017432659280740937,0.00938026372527659,0.03735681731619235
GENERAL MOTORS CO,155394.85714285713,7420.571428571428,0.04990788683920367,0.029080372929442617,0.056289407581679635
TESLA INC,68669.85714285714,6259.428571428572,0.07314730478426903,0.06518648348189146,0.2785754705952352
