conm,fyear,sale,ni,profit_margin,roa,revenue_growth,investment_score
TESLA INC,2025,94827.0000,3794.0000,0.04000970187815706497094709313,0.02753145726601163955125321104,-0.0293069915037363087317023237,2.3333333333333335
GENERAL MOTORS CO,2025,185019.0000,2697.0000,0.01457688129327258281581891590,0.009588174229604243398131425890,-0.0129266653151374825279286393,2.0
FORD MOTOR CO,2025,187267.0000,-8182.0000,-0.04369162746239326736691461923,-0.02829575321621247752109558722,0.012297829095312229718041861,1.6666666666666665
